Type,Strike,Bid,Mid,Ask,IV,Delta,Volume,Open Int
Put,5700,25.0,27.5,30.0,0.180,-0.15,500,2500
Put,5750,30.0,32.5,35.0,0.175,-0.18,600,3000
Put,5800,35.0,37.5,40.0,0.170,-0.22,800,4000
Put,5850,42.0,45.0,48.0,0.165,-0.26,1000,5000
Put,5900,50.0,53.0,56.0,0.160,-0.31,1200,6000
Put,5950,60.0,63.0,66.0,0.155,-0.37,1500,7500
Put,6000,72.0,75.0,78.0,0.150,-0.45,2000,10000
Put,6050,88.0,91.0,94.0,0.148,-0.52,1800,9000
Call,6050,89.0,92.0,95.0,0.148,0.48,1800,9000
Call,6100,63.0,66.0,69.0,0.152,0.40,1600,8000
Call,6150,45.0,48.0,51.0,0.156,0.33,1400,7000
Call,6200,32.0,35.0,38.0,0.160,0.27,1200,6000
Call,6250,23.0,26.0,29.0,0.165,0.22,1000,5000
Call,6300,17.0,20.0,23.0,0.170,0.18,800,4000
Call,6350,13.0,16.0,19.0,0.175,0.14,600,3000
Call,6400,10.0,13.0,16.0,0.180,0.11,400,2000
